Position,AbundanceChange1,AbundanceChangeN,Hemisphere,Sampling,taxa_gp,DOI_Record,Timespan
1,Positive,1,N,Irregular,Fish,1095,36
0.74104,Positive,1,N,Irregular,Invertebrates,2051,66
0.65809,Negative,0,N,Irregular,Zooplankton,1088,53
1,Negative,0,S,Irregular,Fish,2116,131
0.07841,Negative,0,N,Timeseries,Fish,1033,37
0.25109,Negative,0,N,Timeseries,Fish,1033,37
0.28026,Negative,0,N,Timeseries,Fish,1033,37
0.30652,Negative,0,N,Twopoint,Macroalgae,1012,46
0.18082,Negative,0,N,Irregular,Invertebrates,2051,66
0.35883,Negative,0,N,Timeseries,Fish,1082,46
0.46707,Negative,0,N,Timeseries,Fish,1081,46
0.49767,Negative,0,N,Timeseries,Fish,1082,35
0.64722,Negative,0,N,Timeseries,Fish,2046,28
0.65448,Negative,0,N,Timeseries,Fish,1082,42
0.69923,Negative,0,N,Timeseries,Fish,1082,37
0.69885,Negative,0,N,Timeseries,Fish,1082,46
0.72333,Negative,0,N,Timeseries,Fish,1082,40
0.72142,Negative,0,N,Timeseries,Fish,1033,37
1,Negative,0,N,Timeseries,Fish,1081,37
1,Negative,0,N,Timeseries,Fish,1081,28
0.19699,Positive,1,N,Irregular,Invertebrates,2051,66
0.14813,Negative,0,N,Irregular,Invertebrates,2051,66
1,Positive,1,S,Irregular,Fish,2116,131
1,Negative,0,N,Irregular,Fish,1095,36
0.93942,Positive,1,S,Irregular,Fish,2130,19
0.37686,Negative,0,N,Timeseries,Seabirds,2030,48
0.44664,Negative,0,S,Timeseries,Seabirds,2073,40
0,Positive,1,S,Irregular,Seabirds,2030,31
0.43204,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
1,Negative,0,S,Irregular,Fish,2116,131
0.2742,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.93113,Positive,1,N,Timeseries,Fish,1010,20
0.79704,Positive,1,N,Timeseries,Fish,1033,37
0.82929,Positive,1,N,Timeseries,Fish,1008,40
0.41176,Negative,0,N,Irregular,Macroalgae,2045,41
0.78735,Negative,0,N,Timeseries,Invertebrates,1101,47
1,Negative,0,N,Irregular,Fish,1095,36
1,Positive,1,S,Irregular,Fish,2116,131
0.74956,Negative,0,N,Timeseries,Invertebrates,10619,20
0.73914,Positive,1,N,Timeseries,Larvalbonyfish,2128,48
0.19755,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.90084,Positive,1,N,Timeseries,Fish,1010,20
0.81719,Positive,1,N,Irregular,Fish,1098,90
0.95424,Negative,0,S,Timeseries,Fish,2130,19
0.88366,Negative,0,S,Timeseries,Fish,2130,19
1,Positive,1,N,Irregular,Macroalgae,101080,55
0.92001,Positive,1,N,Irregular,Macroalgae,101080,55
0.53821,Negative,0,N,Timeseries,Fish,2145,22
0.5466,Negative,0,N,Irregular,Fish,2145,20
0.68337,Negative,0,S,Irregular,Fish,2116,131
0.55765,Positive,1,N,Timeseries,Fish,1010,20
0.72167,Positive,1,N,Irregular,Fish,1098,90
0.83035,Positive,1,N,Timeseries,Fish,1033,37
0.86394,Positive,1,N,Timeseries,Fish,1008,40
0.18989,Negative,0,N,Timeseries,Zooplankton,2112,41
0.36614,Negative,0,N,Timeseries,Zooplankton,2151,47
0.36614,Negative,0,N,Timeseries,Zooplankton,2108,43
0.39207,Negative,0,N,Timeseries,Zooplankton,12042,45
0.44671,Negative,0,N,Timeseries,Zooplankton,2129,42
0.72818,Positive,1,N,Timeseries,Zooplankton,2108,43
0.72818,Positive,1,N,Timeseries,Zooplankton,2063,45
0.8725,Positive,1,N,Timeseries,Zooplankton,2129,42
0.13087,Positive,1,N,Timeseries,Fish,1098,22
0.15243,Positive,1,N,Timeseries,Fish,1033,37
0.29741,Positive,1,N,Timeseries,Fish,1033,37
0.3219,Positive,1,N,Timeseries,Fish,1033,37
0.05315,Positive,1,N,Irregular,Invertebrates,2051,66
0.94001,Positive,1,N,Irregular,Macroalgae,101080,55
0.78545,Positive,1,N,Timeseries,Invertebrates,1101,47
0.81141,Positive,1,N,Irregular,Fish,1080,30
1,Positive,1,S,Timeseries,Fish,2130,19
1,Negative,0,S,Irregular,Fish,2116,131
0.56825,Positive,1,N,Timeseries,Invertebrates,101016,43
0.39944,Positive,1,N,Timeseries,Mammalsandreptiles,2059,20
0.46104,Negative,0,N,Timeseries,Mammalsandreptiles,2059,51
0.46513,Negative,0,S,Timeseries,Mammalsandreptiles,2059,38
0.59555,Positive,1,N,Irregular,Fish,1095,36
